"filename", "language", "HTML", "JavaScript", "TypeScript", "JSON", "JSON with Comments", "CSS", "TypeScript JSX", "Markdown", "XML", "comment", "blank", "total"
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/league/utils/extractRankDescriptions.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 4, 15
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/leagues/components/leagueLink.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/leagues/constants.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/leagues/services/getLeagues.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/player/components/careerStatistics/careerStatistics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 6, 65
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/player/components/latestMatchesStatistics/latestMatchesStatistics.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 9, 95
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/player/components/playerHeader/playerHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/player/components/playerInfo/playerInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/player/services/getPlayerStatisticsById.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/player/services/getPlayerStatisticsForAllFixtures.ts", "TypeScript", 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 10, 111
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/player/services/getPlayersStatisticsByFixtureId.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/player/styles.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/player/types/types.ts", "TypeScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 74, 9, 183
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/components/teamFixtures/teamFixtures.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 13, 59
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/components/teamHeader/teamHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/components/teamSeasonStats/teamSeasonStats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 6, 53
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/components/teamSquad/teamSquad.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 14, 68
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/components/teamVenue/teamVenue.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/services/getPlayersStatsByTeamId.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/services/getTeamFixtures.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/services/getTeamInfo.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/services/getTeamSquad.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/services/getTeamStandings.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/services/getTeamStatistics.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/sycodes95/personal-projects/on-the-ball-stats/src/features/team/types.ts", "TypeScript", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 18, 188
"/home/sycodes95/personal-projects/on-the-ball-stats/src/index.css", "CSS", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 9, 23
"/home/sycodes95/personal-projects/on-the-ball-stats/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
